text,label
"cuma two-way communication masih dalam proses.",1
"semua ini dapat bertahan dalam 30-40 minit, selepas itu, affan akan tak senang duduk dan suruh buka.",0
"sebelum ini kalau bawa pijak rumput mesti menangis kuat.",0
"i've been bringing my children here since they first opened.",1
"antara perkembangan yang ditunjukkan selepas terapi ialah:",1
"parents, at least you need to go for consultation if your child shows symptoms of speech delay that may bleed to autism.",1
"sebelum masuk terapi merangkak pun tak boleh.",0
"ammar boleh membaca tetapi tidak boleh berinteraksi sebelum ini.",0
"sebelum ini bila suap makan dia kemam lama.",0
"nangis sampai jiran tanya.",0
"kadang dia nak sesuatu tu dia cakap dekat saya sambil nangis.",0
"kekuatan balik.",2
"masuk terapi kedua balutan tangan, dia sendiri suai tangan untuk urut dan balut selepas siap balut kepala.",2
"teruskan terapi ya, tahniah. 💪💪",2
"ok saya akan buat balutan esok ikut paras kening, sekarang dia dah tidur lepas balut.",1
"alhamdulillah, i am one of the customers who received child therapy treatment at this treatment center.",2
"alhamdulillah ustaz. selepas 3 hari balutan kepala, izzara tiada lagi meltdown setiap kali balut kepala dia.",2
"jadi bila balutan mengikut sop, memang anak akan ada perubahan. 💪",2
"terbaik semua. 👏👏💪💪😊",2
"wah dah hensem boy, nampak dah besar sangat ni.",2
"ada sahabat tempat kerja saya terserempak dengan ammar di sekolah yang tahu situasi ammar.",1
"video pembelajaran saya akan share nanti insyallah.",1
"nak tanya sikit, saya dah hampir 2 minggu terapi.",1
"dia selalu sedih dan suka marah, merajuk.",0
"tadi ada parents teachers meeting di sekolahnya.",1
"kemudian saya stop ot, saya buat rawatan di neurotherapy dan hantar playschool.",1
"wah dah hensem boy, nampak dah besar sangat ni.",2
"now at the infrared level.",1
"tapi sekarang kunyah makan laju dan dah bagi saya suap dia pakai tangan.",2
"sebelum ini jenuh la nak bersilat dengan dia untuk potong rambut saja.",0
"lepas itu ustaz, muhammad anaqi dah takut duduk sendirian.",0
"malam tak sempat, ingat nak balut kul 10 malam dia dah tido.",1
"nak makan yang dia nak saja.",0
"dah tak tidur buaian siang, buaian mama dah kasi lipat simpan stor.",2
"betul.",1
"mandi kolam dia boleh beza dalam dengan tidak dalam.",2
"tak menangis dan meronta macam sebelum ini.",2
"alhamdulillah asbab terapi balutan, ammar dah banyak bercakap dan tunjukkan perubahan baru.",2
"sebelum therapy balut ini dia akan tidur lewat dalam 12:30 ke 1 pagi.",0
"sekarang makin kuat otot-otot anaqi.",2
"salam kawan-kawan, jom balut kepala. 🌹",1
"seronok sangat ustaz.",2
"yang lain masih dalam percubaan, harap ada perubahan positif lain.",1
"terapi-terapi lepas-lepas dia hanya akan bertahan sejam.",0
"sebelum ini selalu kata cepat lupa dan tak fokus dalam kelas.",0
"sekarang dah pandai makan nasi.",2
"syuhada dah tak menjerit beberapa hari ini.",2
"demam pun masuk ubat supp.",1
"tak dapat buat balutan, hanya urut sahaja.",0
"sebelum ini ammar hanya boleh membaca tapi tak boleh berinteraksi dua hala dengan kami.",0
"faeeq sebelum ini tak makan daging.",0
"sebelum ini jenuh la nak bersilat dengan dia untuk potong rambut saja.",0
"sekarang dia pandai punggah untuk cari mainan selain yang sentiasa main.",2
"nangis sampai jiran tanya.",0
"sebelum ini tak nak makan nasi, asyik nak bubur.",0
"malam jarang berjaga, dah minta susu.",2
"ya allah, seronok tak terkata mama.",2
"dah boleh berdiri sendiri.",2
"tapi selasa baru ini dia naik basikal.",2
"baru 6 sesi kalau tidak silap.",1
"cuma pergerakkan dia masih tak boleh control.",0
"terbaik puan. 💪💪 moga berhasil.",2
"mintak nak buat kerja sekolah.",2
